sex,sport,nationality,total
female,aquatics,ALB,0
female,aquatics,AND,0
female,aquatics,ANG,0
female,aquatics,ANT,0
female,aquatics,ARG,0
female,aquatics,ARM,0
female,aquatics,ARU,0
female,aquatics,AUS,21
female,aquatics,AUT,0
female,aquatics,AZE,0
female,aquatics,BAH,0
female,aquatics,BAN,0
female,aquatics,BAR,0
female,aquatics,BDI,0
female,aquatics,BEL,0
female,aquatics,BEN,0
female,aquatics,BER,0
female,aquatics,BIH,0
female,aquatics,BLR,1
female,aquatics,BOL,0
female,aquatics,BOT,0
female,aquatics,BRA,1
female,aquatics,BRN,0
female,aquatics,BUL,0
female,aquatics,BUR,0
female,aquatics,CAF,0
female,aquatics,CAM,0
female,aquatics,CAN,18
female,aquatics,CAY,0
female,aquatics,CGO,0
female,aquatics,CHI,0
female,aquatics,CHN,21
female,aquatics,CIV,0
female,aquatics,COK,0
female,aquatics,COL,0
female,aquatics,COM,0
female,aquatics,CRC,0
female,aquatics,CRO,0
female,aquatics,CUB,0
female,aquatics,CYP,0
female,aquatics,CZE,0
female,aquatics,DEN,5
female,aquatics,DOM,0
female,aquatics,ECU,0
female,aquatics,EGY,0
female,aquatics,ESA,0
female,aquatics,ESP,2
female,aquatics,EST,0
female,aquatics,ETH,0
female,aquatics,FIJ,0
female,aquatics,FIN,0
female,aquatics,FRA,0
female,aquatics,FSM,0
female,aquatics,GBR,3
female,aquatics,GEO,0
female,aquatics,GER,0
female,aquatics,GHA,0
female,aquatics,GRE,0
female,aquatics,GRN,0
female,aquatics,GUA,0
female,aquatics,GUI,0
female,aquatics,GUM,0
female,aquatics,GUY,0
female,aquatics,HAI,0
female,aquatics,HKG,0
female,aquatics,HON,0
female,aquatics,HUN,5
female,aquatics,INA,0
female,aquatics,IND,0
female,aquatics,IOA,0
female,aquatics,IRL,0
female,aquatics,ISL,0
female,aquatics,ISR,0
female,aquatics,ISV,0
female,aquatics,ITA,17
female,aquatics,IVB,0
female,aquatics,JAM,0
female,aquatics,JOR,0
female,aquatics,JPN,13
female,aquatics,KAZ,0
female,aquatics,KEN,0
female,aquatics,KGZ,0
female,aquatics,KOR,0
female,aquatics,KOS,0
female,aquatics,LAO,0
female,aquatics,LAT,0
female,aquatics,LBA,0
female,aquatics,LIB,0
female,aquatics,LIE,0
female,aquatics,LTU,0
female,aquatics,LUX,0
female,aquatics,MAD,0
female,aquatics,MAR,0
female,aquatics,MAS,2
female,aquatics,MAW,0
female,aquatics,MDA,0
female,aquatics,MDV,0
female,aquatics,MEX,0
female,aquatics,MGL,0
female,aquatics,MHL,0
female,aquatics,MKD,0
female,aquatics,MLI,0
female,aquatics,MLT,0
female,aquatics,MNE,0
female,aquatics,MOZ,0
female,aquatics,MRI,0
female,aquatics,MYA,0
female,aquatics,NCA,0
female,aquatics,NED,1
female,aquatics,NEP,0
female,aquatics,NGR,0
female,aquatics,NIG,0
female,aquatics,NOR,0
female,aquatics,NZL,0
female,aquatics,PAK,0
female,aquatics,PAN,0
female,aquatics,PAR,0
female,aquatics,PER,0
female,aquatics,PHI,0
female,aquatics,PLE,0
female,aquatics,PLW,0
female,aquatics,POL,0
female,aquatics,POR,0
female,aquatics,PRK,0
female,aquatics,PUR,0
female,aquatics,QAT,0
female,aquatics,ROT,0
female,aquatics,ROU,0
female,aquatics,RSA,0
female,aquatics,RUS,26
female,aquatics,RWA,0
female,aquatics,SAM,0
female,aquatics,SEN,0
female,aquatics,SEY,0
female,aquatics,SIN,0
female,aquatics,SLE,0
female,aquatics,SLO,0
female,aquatics,SRB,0
female,aquatics,SRI,0
female,aquatics,SUD,0
female,aquatics,SUI,0
female,aquatics,SUR,0
female,aquatics,SVK,0
female,aquatics,SWE,3
female,aquatics,SYR,0
female,aquatics,TAN,0
female,aquatics,TGA,0
female,aquatics,THA,0
female,aquatics,TJK,0
female,aquatics,TKM,0
female,aquatics,TOG,0
female,aquatics,TPE,0
female,aquatics,TUR,0
female,aquatics,UAE,0
female,aquatics,UGA,0
female,aquatics,UKR,0
female,aquatics,URU,0
female,aquatics,USA,48
female,aquatics,UZB,0
female,aquatics,VEN,0
female,aquatics,VIE,0
female,aquatics,VIN,0
female,aquatics,YEM,0
female,aquatics,ZAM,0
female,aquatics,ZIM,0
female,athletics,AFG,0
female,athletics,ALB,0
female,athletics,ALG,0
female,athletics,ANG,0
female,athletics,ANT,0
female,athletics,ARG,0
female,athletics,ARM,0
female,athletics,ASA,0
female,athletics,AUS,0
female,athletics,AUT,0
female,athletics,AZE,0
female,athletics,BAH,1
female,athletics,BAN,0
female,athletics,BAR,0
female,athletics,BDI,1
female,athletics,BEL,1
female,athletics,BEN,0
female,athletics,BIH,0
female,athletics,BIZ,0
female,athletics,BLR,0
female,athletics,BOL,0
female,athletics,BOT,0
female,athletics,BRA,0
female,athletics,BRN,2
female,athletics,BRU,0
female,athletics,BUL,1
female,athletics,BUR,0
female,athletics,CAF,0
female,athletics,CAM,0
female,athletics,CAN,1
female,athletics,CGO,0
female,athletics,CHA,0
female,athletics,CHI,0
female,athletics,CHN,3
female,athletics,CIV,0
female,athletics,CMR,0
female,athletics,COD,0
female,athletics,COK,0
female,athletics,COL,1
female,athletics,COM,0
female,athletics,CPV,0
female,athletics,CRC,0
female,athletics,CRO,3
female,athletics,CUB,1
female,athletics,CYP,0
female,athletics,CZE,1
female,athletics,DEN,1
female,athletics,DJI,0
female,athletics,DMA,0
female,athletics,DOM,0
female,athletics,ECU,0
female,athletics,EGY,0
female,athletics,ERI,0
female,athletics,ESA,0
female,athletics,ESP,1
female,athletics,EST,0
female,athletics,ETH,5
female,athletics,FIJ,0
female,athletics,FIN,0
female,athletics,FRA,1
female,athletics,FSM,0
female,athletics,GAB,0
female,athletics,GAM,0
female,athletics,GBR,11
female,athletics,GBS,0
female,athletics,GEO,0
female,athletics,GEQ,0
female,athletics,GER,0
female,athletics,GHA,0
female,athletics,GRE,1
female,athletics,GRN,0
female,athletics,GUA,0
female,athletics,GUI,0
female,athletics,GUM,0
female,athletics,GUY,0
female,athletics,HAI,0
female,athletics,HKG,0
female,athletics,HUN,1
female,athletics,INA,0
female,athletics,IND,0
female,athletics,IRI,0
female,athletics,IRL,0
female,athletics,ISL,0
female,athletics,ISR,0
female,athletics,ISV,0
female,athletics,ITA,0
female,athletics,IVB,0
female,athletics,JAM,16
female,athletics,JPN,0
female,athletics,KAZ,1
female,athletics,KEN,7
female,athletics,KGZ,0
female,athletics,KIR,0
female,athletics,KOR,0
female,athletics,KOS,0
female,athletics,KSA,0
female,athletics,LAO,0
female,athletics,LAT,0
female,athletics,LBR,0
female,athletics,LCA,0
female,athletics,LES,0
female,athletics,LIB,0
female,athletics,LTU,0
female,athletics,LUX,0
female,athletics,MAD,0
female,athletics,MAR,0
female,athletics,MAS,0
female,athletics,MAW,0
female,athletics,MDA,0
female,athletics,MDV,0
female,athletics,MEX,1
female,athletics,MGL,0
female,athletics,MHL,0
female,athletics,MKD,0
female,athletics,MLI,0
female,athletics,MLT,0
female,athletics,MNE,0
female,athletics,MRI,0
female,athletics,MTN,0
female,athletics,MYA,0
female,athletics,NAM,0
female,athletics,NED,1
female,athletics,NEP,0
female,athletics,NGR,0
female,athletics,NIG,0
female,athletics,NOR,0
female,athletics,NZL,2
female,athletics,OMA,0
female,athletics,PAK,0
female,athletics,PAN,0
female,athletics,PAR,0
female,athletics,PER,0
female,athletics,PHI,0
female,athletics,PLE,0
female,athletics,PNG,0
female,athletics,POL,1
female,athletics,POR,0
female,athletics,PRK,0
female,athletics,PUR,0
female,athletics,QAT,0
female,athletics,ROT,0
female,athletics,ROU,0
female,athletics,RSA,2
female,athletics,RUS,0
female,athletics,RWA,0
female,athletics,SEN,0
female,athletics,SEY,0
female,athletics,SIN,0
female,athletics,SKN,0
female,athletics,SLE,0
female,athletics,SLO,0
female,athletics,SOL,0
female,athletics,SOM,0
female,athletics,SRB,1
female,athletics,SRI,0
female,athletics,SSD,0
female,athletics,STP,0
female,athletics,SUD,0
female,athletics,SUI,0
female,athletics,SUR,0
female,athletics,SVK,0
female,athletics,SWE,0
female,athletics,SWZ,0
female,athletics,SYR,0
female,athletics,TAN,0
female,athletics,TGA,0
female,athletics,THA,0
female,athletics,TJK,0
female,athletics,TKM,0
female,athletics,TLS,0
female,athletics,TOG,0
female,athletics,TPE,0
female,athletics,TTO,0
female,athletics,TUN,0
female,athletics,TUR,0
female,athletics,UAE,0
female,athletics,UGA,0
female,athletics,UKR,0
female,athletics,URU,0
female,athletics,USA,25
female,athletics,UZB,0
female,athletics,VEN,1
female,athletics,VIE,0
female,athletics,VIN,0
female,athletics,ZAM,0
female,athletics,ZIM,0
male,aquatics,ALB,0
male,aquatics,ALG,0
male,aquatics,AND,0
male,aquatics,ANG,0
male,aquatics,ANT,0
male,aquatics,ARG,0
male,aquatics,ARM,0
male,aquatics,ARU,0
male,aquatics,AUS,13
male,aquatics,AUT,0
male,aquatics,AZE,0
male,aquatics,BAH,0
male,aquatics,BAN,0
male,aquatics,BAR,0
male,aquatics,BDI,0
male,aquatics,BEL,1
male,aquatics,BEN,0
male,aquatics,BER,0
male,aquatics,BIH,0
male,aquatics,BLR,0
male,aquatics,BOL,0
male,aquatics,BOT,0
male,aquatics,BRA,0
male,aquatics,BRN,0
male,aquatics,BUL,0
male,aquatics,BUR,0
male,aquatics,CAF,0
male,aquatics,CAM,0
male,aquatics,CAN,0
male,aquatics,CAY,0
male,aquatics,CGO,0
male,aquatics,CHI,0
male,aquatics,CHN,10
male,aquatics,CIV,0
male,aquatics,COK,0
male,aquatics,COL,0
male,aquatics,COM,0
male,aquatics,CRO,13
male,aquatics,CUB,0
male,aquatics,CYP,0
male,aquatics,CZE,0
male,aquatics,DEN,0
male,aquatics,DJI,0
male,aquatics,DOM,0
male,aquatics,ECU,0
male,aquatics,EGY,0
male,aquatics,ESA,0
male,aquatics,ESP,0
male,aquatics,EST,0
male,aquatics,ETH,0
male,aquatics,FIJ,0
male,aquatics,FIN,0
male,aquatics,FRA,8
male,aquatics,FSM,0
male,aquatics,GAB,0
male,aquatics,GAM,0
male,aquatics,GBR,15
male,aquatics,GEO,0
male,aquatics,GER,1
male,aquatics,GHA,0
male,aquatics,GRE,1
male,aquatics,GRN,0
male,aquatics,GUA,0
male,aquatics,GUI,0
male,aquatics,GUM,0
male,aquatics,GUY,0
male,aquatics,HAI,0
male,aquatics,HKG,0
male,aquatics,HON,0
male,aquatics,HUN,2
male,aquatics,INA,0
male,aquatics,IND,0
male,aquatics,IOA,0
male,aquatics,IRI,0
male,aquatics,IRL,0
male,aquatics,ISL,0
male,aquatics,ISR,0
male,aquatics,ISV,0
male,aquatics,ITA,16
male,aquatics,JAM,0
male,aquatics,JOR,0
male,aquatics,JPN,8
male,aquatics,KAZ,1
male,aquatics,KEN,0
male,aquatics,KGZ,0
male,aquatics,KOR,0
male,aquatics,KOS,0
male,aquatics,LAO,0
male,aquatics,LAT,0
male,aquatics,LBA,0
male,aquatics,LCA,0
male,aquatics,LIB,0
male,aquatics,LIE,0
male,aquatics,LTU,0
male,aquatics,LUX,0
male,aquatics,MAD,0
male,aquatics,MAR,0
male,aquatics,MAS,0
male,aquatics,MAW,0
male,aquatics,MDA,0
male,aquatics,MDV,0
male,aquatics,MEX,1
male,aquatics,MGL,0
male,aquatics,MHL,0
male,aquatics,MKD,0
male,aquatics,MLI,0
male,aquatics,MLT,0
male,aquatics,MNE,0
male,aquatics,MOZ,0
male,aquatics,MRI,0
male,aquatics,MYA,0
male,aquatics,NCA,0
male,aquatics,NED,1
male,aquatics,NEP,0
male,aquatics,NGR,0
male,aquatics,NIG,0
male,aquatics,NOR,0
male,aquatics,NZL,0
male,aquatics,PAK,0
male,aquatics,PAN,0
male,aquatics,PAR,0
male,aquatics,PER,0
male,aquatics,PHI,0
male,aquatics,PLE,0
male,aquatics,PLW,0
male,aquatics,PNG,0
male,aquatics,POL,0
male,aquatics,POR,0
male,aquatics,PUR,0
male,aquatics,QAT,0
male,aquatics,ROT,0
male,aquatics,ROU,0
male,aquatics,RSA,3
male,aquatics,RUS,2
male,aquatics,RWA,0
male,aquatics,SAM,0
male,aquatics,SEN,0
male,aquatics,SEY,0
male,aquatics,SIN,1
male,aquatics,SLE,0
male,aquatics,SLO,0
male,aquatics,SRB,13
male,aquatics,SRI,0
male,aquatics,SUD,0
male,aquatics,SUI,0
male,aquatics,SUR,0
male,aquatics,SVK,0
male,aquatics,SWE,0
male,aquatics,SYR,0
male,aquatics,TAN,0
male,aquatics,TGA,0
male,aquatics,THA,0
male,aquatics,TJK,0
male,aquatics,TKM,0
male,aquatics,TOG,0
male,aquatics,TPE,0
male,aquatics,TTO,0
male,aquatics,TUN,0
male,aquatics,TUR,0
male,aquatics,UAE,0
male,aquatics,UGA,0
male,aquatics,UKR,0
male,aquatics,URU,0
male,aquatics,USA,41
male,aquatics,UZB,0
male,aquatics,VEN,0
male,aquatics,VIE,0
male,aquatics,VIN,0
male,aquatics,ZAM,0
male,aquatics,ZIM,0
male,athletics,AFG,0
male,athletics,ALB,0
male,athletics,ALG,2
male,athletics,AND,0
male,athletics,ANG,0
male,athletics,ANT,0
male,athletics,ARG,0
male,athletics,ARM,0
male,athletics,ASA,0
male,athletics,AUS,2
male,athletics,AUT,0
male,athletics,AZE,0
male,athletics,BAH,5
male,athletics,BAN,0
male,athletics,BAR,0
male,athletics,BDI,0
male,athletics,BEL,0
male,athletics,BEN,0
male,athletics,BER,0
male,athletics,BIH,0
male,athletics,BIZ,0
male,athletics,BLR,1
male,athletics,BOL,0
male,athletics,BOT,0
male,athletics,BRA,1
male,athletics,BRN,0
male,athletics,BRU,0
male,athletics,BUL,0
male,athletics,BUR,0
male,athletics,CAF,0
male,athletics,CAM,0
male,athletics,CAN,9
male,athletics,CAY,0
male,athletics,CGO,0
male,athletics,CHA,0
male,athletics,CHI,0
male,athletics,CHN,3
male,athletics,CIV,0
male,athletics,COD,0
male,athletics,COK,0
male,athletics,COL,0
male,athletics,COM,0
male,athletics,CPV,0
male,athletics,CRC,0
male,athletics,CRO,0
male,athletics,CUB,0
male,athletics,CYP,0
male,athletics,CZE,0
male,athletics,DEN,0
male,athletics,DJI,0
male,athletics,DMA,0
male,athletics,DOM,0
male,athletics,ECU,0
male,athletics,EGY,0
male,athletics,ERI,0
male,athletics,ESA,0
male,athletics,ESP,1
male,athletics,EST,0
male,athletics,ETH,3
male,athletics,FIJ,0
male,athletics,FIN,0
male,athletics,FRA,5
male,athletics,FSM,0
male,athletics,GAB,0
male,athletics,GAM,0
male,athletics,GBR,3
male,athletics,GBS,0
male,athletics,GEO,0
male,athletics,GEQ,0
male,athletics,GER,3
male,athletics,GHA,0
male,athletics,GRE,0
male,athletics,GRN,1
male,athletics,GUA,0
male,athletics,GUI,0
male,athletics,GUM,0
male,athletics,GUY,0
male,athletics,HAI,0
male,athletics,HKG,0
male,athletics,HON,0
male,athletics,HUN,0
male,athletics,INA,0
male,athletics,IND,0
male,athletics,IRI,0
male,athletics,IRL,0
male,athletics,ISL,0
male,athletics,ISR,0
male,athletics,ISV,0
male,athletics,ITA,0
male,athletics,IVB,0
male,athletics,JAM,14
male,athletics,JOR,0
male,athletics,JPN,5
male,athletics,KAZ,0
male,athletics,KEN,6
male,athletics,KGZ,0
male,athletics,KIR,0
male,athletics,KOR,0
male,athletics,KOS,0
male,athletics,KSA,0
male,athletics,LAO,0
male,athletics,LAT,0
male,athletics,LBA,0
male,athletics,LBR,0
male,athletics,LCA,0
male,athletics,LES,0
male,athletics,LIB,0
male,athletics,LTU,0
male,athletics,LUX,0
male,athletics,MAD,0
male,athletics,MAR,0
male,athletics,MAS,0
male,athletics,MAW,0
male,athletics,MDA,0
male,athletics,MDV,0
male,athletics,MEX,0
male,athletics,MGL,0
male,athletics,MHL,0
male,athletics,MKD,0
male,athletics,MLI,0
male,athletics,MLT,0
male,athletics,MNE,0
male,athletics,MON,0
male,athletics,MOZ,0
male,athletics,MRI,0
male,athletics,MTN,0
male,athletics,MYA,0
male,athletics,NAM,0
male,athletics,NCA,0
male,athletics,NED,0
male,athletics,NEP,0
male,athletics,NGR,0
male,athletics,NIG,0
male,athletics,NOR,0
male,athletics,NZL,2
male,athletics,OMA,0
male,athletics,PAK,0
male,athletics,PAN,0
male,athletics,PAR,0
male,athletics,PER,0
male,athletics,PHI,0
male,athletics,PLE,0
male,athletics,PLW,0
male,athletics,PNG,0
male,athletics,POL,2
male,athletics,POR,0
male,athletics,PRK,0
male,athletics,PUR,0
male,athletics,QAT,1
male,athletics,ROT,0
male,athletics,ROU,0
male,athletics,RSA,2
male,athletics,RWA,0
male,athletics,SAM,0
male,athletics,SEN,0
male,athletics,SEY,0
male,athletics,SIN,0
male,athletics,SKN,0
male,athletics,SLE,0
male,athletics,SLO,0
male,athletics,SMR,0
male,athletics,SOL,0
male,athletics,SOM,0
male,athletics,SRB,0
male,athletics,SRI,0
male,athletics,SSD,0
male,athletics,STP,0
male,athletics,SUD,0
male,athletics,SUI,0
male,athletics,SUR,0
male,athletics,SVK,1
male,athletics,SWE,0
male,athletics,SWZ,0
male,athletics,SYR,0
male,athletics,TAN,0
male,athletics,TGA,0
male,athletics,THA,0
male,athletics,TJK,1
male,athletics,TKM,0
male,athletics,TLS,0
male,athletics,TOG,0
male,athletics,TPE,0
male,athletics,TTO,1
male,athletics,TUN,0
male,athletics,TUR,1
male,athletics,TUV,0
male,athletics,UAE,0
male,athletics,UGA,0
male,athletics,UKR,1
male,athletics,URU,0
male,athletics,USA,21
male,athletics,UZB,0
male,athletics,VEN,0
male,athletics,VIE,0
male,athletics,VIN,0
male,athletics,YEM,0
male,athletics,ZAM,0
male,athletics,ZIM,0
